Country,Year,Status,Life_expectancy,Alcohol,Hepatitis_B,BMI,Polio,Diphtheria,HIV_AIDS,GDP,thinness _1_19_years,thinness_5_9_years,Iso_code,Region,Region_encoded,Schooling,Measles
Afghanistan,2000,0,54.8,0.01,62.0,12.2,24.0,24.0,0.1,114.56,2.3,2.5,AFG,Asia,1,1.264052241,27.0
Afghanistan,2001,0,55.3,0.01,63.0,12.6,35.0,33.0,0.1,117.49698,2.1,2.4,AFG,Asia,1,1.315550666,37.0
Afghanistan,2002,0,56.2,0.01,64.0,13.0,36.0,36.0,0.1,187.84595,19.9,2.2,AFG,Asia,1,1.367049091,35.0
Afghanistan,2003,0,56.7,0.01,65.0,13.4,41.0,41.0,0.1,198.7285436,19.7,19.9,AFG,Asia,1,1.418547515,39.0
Afghanistan,2004,0,57.0,0.02,95.0,13.8,95.0,95.0,0.1,219.1413528,19.5,19.7,AFG,Asia,1,1.47004594,48.0
Afghanistan,2005,0,57.3,0.02,66.0,14.2,58.0,58.0,0.1,25.2941299,19.3,19.5,AFG,Asia,1,1.521544365,50.0
Afghanistan,2006,0,57.3,0.03,64.0,14.7,58.0,58.0,0.1,272.56377,19.2,19.3,AFG,Asia,1,1.595280745,53.0
Afghanistan,2007,0,57.5,0.02,63.0,15.2,63.0,63.0,0.1,369.835796,19.0,19.1,AFG,Asia,1,1.669017126,55.0
Afghanistan,2008,0,58.1,0.03,64.0,15.7,64.0,64.0,0.1,373.3611163,18.8,18.9,AFG,Asia,1,1.742753507,59.0
Afghanistan,2009,0,58.6,0.01,63.0,16.2,63.0,63.0,0.1,445.8932979,18.6,18.7,AFG,Asia,1,1.816489888,60.0
Afghanistan,2010,0,58.8,0.01,66.0,16.7,66.0,66.0,0.1,553.32894,18.4,18.4,AFG,Asia,1,1.890226268,62.0
Afghanistan,2011,0,59.2,0.01,68.0,17.2,68.0,68.0,0.1,63.537231,18.2,18.2,AFG,Asia,1,1.937043018,64.0
Afghanistan,2012,0,59.5,0.01,67.0,17.6,67.0,67.0,0.1,669.959,17.9,18.0,AFG,Asia,1,1.983859768,59.0
Afghanistan,2013,0,59.9,0.01,64.0,18.1,62.0,64.0,0.1,631.744976,17.7,17.7,AFG,Asia,1,2.030676517,57.0
Afghanistan,2014,0,59.9,0.01,62.0,18.6,58.0,62.0,0.1,612.696514,17.5,17.5,AFG,Asia,1,2.077493267,60.0
Afghanistan,2015,0,65.0,0.01,95.0,19.1,95.0,65.0,0.1,584.25921,17.2,17.3,AFG,Asia,1,2.124310017,62.0
Angola,2000,0,45.3,1.85,87.0,15.4,82.0,28.0,2.0,555.2969419,1.9,1.9,AGO,Africa,0,3.425745773,41.0
Angola,2001,0,45.7,2.58,87.0,15.8,41.0,38.0,2.1,526.168743,1.7,1.7,AGO,Africa,0,3.464791,72.0
Angola,2002,0,46.5,2.82,87.0,16.3,37.0,41.0,2.3,711.181716,1.5,1.5,AGO,Africa,0,3.505191693,74.0
Angola,2003,0,46.8,3.49,87.0,16.8,82.0,83.0,2.4,779.468356,1.4,1.3,AGO,Africa,0,3.545592386,62.0
Angola,2004,0,47.1,3.53,87.0,17.2,82.0,83.0,2.5,141.86844,1.2,1.1,AGO,Africa,0,3.585993079,64.0
Angola,2005,0,47.4,5.04,87.0,17.7,39.0,38.0,2.6,1443.991929,1.0,9.9,AGO,Africa,0,3.626393772,45.0
Angola,2006,0,47.7,5.84,87.0,18.2,36.0,34.0,2.5,262.415149,9.8,9.7,AGO,Africa,0,3.666794465,48.0
Angola,2007,0,48.2,6.35,73.0,18.8,75.0,73.0,2.6,2878.837144,9.6,9.6,AGO,Africa,0,3.707195158,58.0
Angola,2008,0,48.7,7.07,69.0,19.3,65.0,69.0,2.6,3868.578883,9.5,9.4,AGO,Africa,0,3.747595851,58.0
Angola,2009,0,49.1,7.01,61.0,19.8,63.0,83.0,2.5,3347.84485,9.3,9.2,AGO,Africa,0,3.787996544,58.0
Angola,2010,0,49.6,7.8,77.0,2.4,81.0,77.0,2.5,3529.53482,9.1,9.0,AGO,Africa,0,3.828397237,59.0
Angola,2011,0,51.0,8.06,72.0,21.0,73.0,71.0,2.5,4299.12889,8.9,8.8,AGO,Africa,0,3.86879793,59.0
Angola,2012,0,56.0,8.24,75.0,21.5,75.0,75.0,2.6,4598.249988,8.8,8.6,AGO,Africa,0,3.909198623,59.0
Angola,2013,0,51.1,8.1,77.0,22.1,67.0,77.0,2.3,484.616884,8.6,8.5,AGO,Africa,0,3.949599316,59.0
Angola,2014,0,51.7,8.33,64.0,22.7,68.0,64.0,2.0,479.31224,8.5,8.3,AGO,Africa,0,3.99000001,56.0
Angola,2015,0,52.4,6.31,87.0,23.3,82.0,64.0,1.9,3695.793748,8.3,8.2,AGO,Africa,0,5.315629959,52.0
Albania,2000,0,72.6,3.66,96.0,45.0,97.0,97.0,0.1,1175.788981,2.1,2.2,ALB,Europe,2,8.750521307,95.0
Albania,2001,0,73.6,4.25,96.0,46.0,97.0,97.0,0.1,1326.97339,2.1,2.1,ALB,Europe,2,8.819999695,95.0
Albania,2002,0,73.3,3.73,96.0,46.9,98.0,98.0,0.1,1453.642777,2.0,2.1,ALB,Europe,2,8.885713986,96.0
Albania,2003,0,72.8,4.29,97.0,47.9,97.0,97.0,0.1,189.681557,1.9,2.0,ALB,Europe,2,8.951428277,93.0
Albania,2004,0,73.0,4.54,99.0,48.9,98.0,97.0,0.1,2416.588235,1.8,1.9,ALB,Europe,2,9.017142568,96.0
Albania,2005,0,73.5,5.16,98.0,49.9,97.0,98.0,0.1,279.142931,1.8,1.8,ALB,Europe,2,9.082856859,97.0
Albania,2006,0,74.2,5.31,98.0,5.8,97.0,97.0,0.1,35.1293,1.7,1.8,ALB,Europe,2,9.148571151,95.0
Albania,2007,0,75.9,5.58,98.0,51.7,99.0,98.0,0.1,363.13685,1.6,1.7,ALB,Europe,2,9.214285442,97.0
Albania,2008,0,75.3,5.61,99.0,52.6,99.0,99.0,0.1,437.539647,1.6,1.6,ALB,Europe,2,9.279999733,98.0
Albania,2009,0,76.1,5.79,98.0,53.5,98.0,98.0,0.1,4114.136545,1.5,1.6,ALB,Europe,2,9.453333219,97.0
